DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,1995,6111.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,1996,6042.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,1997,5610.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,1998,5781.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,1999,5528.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2000,5275.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2001,5221.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2002,5350.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2003,6407.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2004,6467.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2005,6978.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2006,6173.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2007,5709.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2008,5811.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2009,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2010,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2011,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2012,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2013,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2014,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2015,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2016,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2017,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2018,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2019,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2020,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Austria,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1990,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1991,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1992,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1993,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1994,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1995,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1996,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1997,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1998,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,1999,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,2000,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,2001,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,2002,,,
ESTAT:NRG_TI_GAS(1.0),24/03/26 23:00:00,Annual,Natural gas,Russia,Million cubic metres,Bosnia and Herzegovina,2003,,,
